ID,text
15,"['little_worried', 'not_nervous', 'calm', 'relaxing', 'confident', 'positive']"
37,"['nervous', 'good', 'calm', 'relaxing', 'not_bothered', 'easier', 'helpful', helpful']"
38,"['calm', 'serene', 'calm', 'relax', 'zen']"
19,"['calm', 'good', 'relaxed', 'engaged', 'happy', 'calm']"
8,"['cool', 'useful', 'interesting', 'good', 'not_bothered', 'not_uncomfortable']"
39,"['relaxed', 'tune_out', 'not_annoyed', 'not_bothered', 'tune_out]"
7,"['relaxed', 'not_comfortable', 'good', 'tune_out', 'interesting']"
3,"['acceptable', 'not_uncomfortable', 'amusing', 'very relaxing', 'distracted', 'perfect']"
32,"['relaxed', 'relax', 'good', 'relax', 'not_bothered']"
17,"['good', 'comfortable', 'not_bothered', 'good']"
9,"['pleasant', 'relaxing', 'calm', 'relaxed', 'not_bothered', 'liked', 'good', 'pleasant']"
22,"['calm', 'tiresome', 'comforting', 'good', 'monotonous', 'comforting', 'calm']"
5,"['very_nervous', 'extremely_nervous', 'calm', 'less_anxious', 'comfortable', 'trust', 'calm', 'calmer', 'nervous']"
1,"['very_nervous', 'confident', 'nervous', 'calm', 'bothered', 'calm', 'less_anxious']"
12,['not_bothered']
20,"['relaxing', 'engaged', 'relaxing', 'positive']"
26,"['relaxing', 'calm', 'relaxing', 'effective', 'not_monotonous', 'not_bothered', 'peaceful', 'distracted']"
45,"['liked', 'like']"
30,"['relaxing', 'calm', 'not_bothered', 'useful', 'relaxing']"
36,"['not_intrusive', 'calm', 'engaged']"
18,"['positive', 'not_uncomfortable']"
31,"['excellent', 'engaged']"
27,"['good', 'not_bothered', 'peaceful']"
6,"['nervous', 'confident', 'peaceful', 'not_bothered']"
4,"['not_uncomfortable',  'not_bothered', 'relaxing', 'liked']"
11,"['nervous', 'some_anxiety', 'calm', 'tune_out']"
16,"['relaxed', 'not_bothered', 'fine']"
21,"['valuable', 'calm', 'calm', 'pleasant',  'not_bothered', 'distracted', 'helpful',  'relaxed']"
10,"['calming', 'relaxing', 'anxiety', 'trust', 'distracted', 'engaged']"
41,"['nervous', 'calm', 'calm, 'confident', 'distracted', 'little_bothered', 'calm', 'liked']"
13,"['not_anxious', 'not_nervous', 'calm']"
35,"['not_bad', 'good', 'repetitive', 'liked', 'not_isolated', 'not_tuned_out', 'not_bothered']"